"associatedMedia","data_provider_category_HumanObservation","scientificName_HumanObservation","scientificNameID_HumanObservation","higherClassification_group","Abundance","Biovolume","volume_imaged","concentrationFlag","eventDate","decimalLatitude","decimalLongitude","depth","eventID"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Amphidinium","Amphidinium","urn:lsid:marinespecies.org:taxname:109473","Dinoflagellata",1,5495.193,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Apedinella","Apedinella","urn:lsid:marinespecies.org:taxname:248096","other than diatoms dinoflagellates or haptophytes",1,276.126,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Bacillariophyceae","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae",4,1806.066,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Calciosolenia brasiliensis","Calciosolenia brasiliensis","urn:lsid:marinespecies.org:taxname:555889","Haptophyta",1,410.617,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Chaetoceros","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985","Bacillariophyceae",1,9386.327,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Corethron hystrix","Corethron hystrix","urn:lsid:marinespecies.org:taxname:179596","Bacillariophyceae",2,10624.717,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Cylindrotheca","Cylindrotheca","urn:lsid:marinespecies.org:taxname:149003","Bacillariophyceae",10,979.735,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Dactyliosolen blavyanus","Dactyliosolen blavyanus","urn:lsid:marinespecies.org:taxname:179786","Bacillariophyceae",1,12329.208,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Dactyliosolen fragilissimus","Dactyliosolen fragilissimus","urn:lsid:marinespecies.org:taxname:149310","Bacillariophyceae",1,5187.796,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Dictyocha","Dictyocha","urn:lsid:marinespecies.org:taxname:157258","other than diatoms dinoflagellates or haptophytes",1,6697.055,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Dinophyceae","Dinophyceae","urn:lsid:marinespecies.org:taxname:19542","Dinoflagellata",24,45801.226,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Ditylum brightwellii","Ditylum brightwellii","urn:lsid:marinespecies.org:taxname:149023","Bacillariophyceae",4,245403.724,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Guinardia delicatula","Guinardia delicatula","urn:lsid:marinespecies.org:taxname:149112","Bacillariophyceae",10,426518.353,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Guinardia flaccida","Guinardia flaccida","urn:lsid:marinespecies.org:taxname:149132","Bacillariophyceae",2,740735.064,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
